Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,6040.0,6085.0,6010.0,6085.0,6085.0,13584588
2016-11-01,6065.0,6120.0,6020.0,6090.0,6090.0,14889074
2016-11-02,5955.0,5980.0,5840.0,5880.0,5880.0,22042780
2016-11-04,5770.0,5785.0,5650.0,5705.0,5705.0,23100860
2016-11-07,5900.0,5910.0,5820.0,5905.0,5905.0,15776796
2016-11-08,5945.0,5950.0,5870.0,5895.0,5895.0,12431776
2016-11-09,5980.0,6080.0,5160.0,5290.0,5290.0,100793764
2016-11-10,5905.0,6005.0,5820.0,5970.0,5970.0,36871264
2016-11-11,6095.0,6155.0,5960.0,5995.0,5995.0,31754542
2016-11-14,6070.0,6215.0,6055.0,6195.0,6195.0,24758664
2016-11-15,6205.0,6230.0,6150.0,6190.0,6190.0,18045046
2016-11-16,6310.0,6345.0,6290.0,6340.0,6340.0,18971236
2016-11-17,6265.0,6345.0,6265.0,6335.0,6335.0,14640290
2016-11-18,6470.0,6470.0,6410.0,6415.0,6415.0,18326182
2016-11-21,6450.0,6520.0,6430.0,6500.0,6500.0,13706228
2016-11-22,6480.0,6550.0,6460.0,6545.0,6545.0,13313532
2016-11-24,6675.0,6700.0,6650.0,6670.0,6670.0,13526556
2016-11-25,6705.0,6770.0,6630.0,6710.0,6710.0,20912144
2016-11-28,6640.0,6695.0,6580.0,6680.0,6680.0,16716984
2016-11-29,6600.0,6660.0,6595.0,6650.0,6650.0,10500786
2016-11-30,6675.0,6690.0,6625.0,6645.0,6645.0,12564798
2016-12-01,6825.0,6965.0,6750.0,6790.0,6790.0,29620954
2016-12-02,6740.0,6765.0,6650.0,6735.0,6735.0,19813874
2016-12-05,6680.0,6695.0,6585.0,6615.0,6615.0,15562498
2016-12-06,6755.0,6780.0,6650.0,6680.0,6680.0,16248416
2016-12-07,6740.0,6785.0,6715.0,6780.0,6780.0,10273396
2016-12-08,6910.0,6975.0,6860.0,6975.0,6975.0,15499562
2016-12-09,7010.0,7185.0,7010.0,7170.0,7170.0,22340398
2016-12-12,7315.0,7365.0,7195.0,7280.0,7280.0,23092380
2016-12-13,7220.0,7350.0,7195.0,7350.0,7350.0,16855940
2016-12-14,7365.0,7370.0,7295.0,7340.0,7340.0,14268268
2016-12-15,7400.0,7490.0,7295.0,7370.0,7370.0,28609406
2016-12-16,7480.0,7495.0,7425.0,7470.0,7470.0,15996958
2016-12-19,7400.0,7455.0,7385.0,7450.0,7450.0,12906720
2016-12-20,7445.0,7545.0,7425.0,7540.0,7540.0,15332806
2016-12-21,7585.0,7610.0,7435.0,7500.0,7500.0,18882098
2016-12-22,7455.0,7475.0,7400.0,7475.0,7475.0,13556840
2016-12-26,7475.0,7480.0,7450.0,7455.0,7455.0,5006600
2016-12-27,7430.0,7520.0,7425.0,7460.0,7460.0,10429898
2016-12-28,7480.0,7515.0,7450.0,7485.0,7485.0,9450064
2016-12-29,7410.0,7410.0,7240.0,7280.0,7280.0,19525944
2016-12-30,7170.0,7305.0,7160.0,7240.0,7240.0,13752550
2017-01-04,7380.0,7620.0,7380.0,7620.0,7620.0,22068014
